,movie,year,imdb,Duration
0,College Romance,2018,9.8,30 min
1,Flames,2018,9.7,20 min
2,Yeh Meri Family,2018,9.6,30 min
3,Sacred Games,2018,9.0,50 min
4,Andhadhun,2018,9.0,139 min
5,The Haunting of Hill House,2018,8.9,50 min
6,The Mechanism,2018,8.9,41 min
7,Cobra Kai,2018,8.9,30 min
8,Rangasthalam,2018,8.7,170 min
9,Avengers: Infinity War,2018,8.6,149 min
10,Won't You Be My Neighbor?,2018,8.5,94 min
11,Bohemian Rhapsody,2018,8.4,134 min
12,Final Space,2018,8.4,30 min
13,Who Is America?,2018,8.4,30 min
14,A Star Is Born,2018,8.3,136 min
15,Tom Clancy's Jack Ryan,2018,8.3,60 min
16,Bodyguard,2018,8.3,60 min
17,Killing Eve,2018,8.3,43 min
18,Wild Wild Country,2018,8.3,401 min
19,A Discovery of Witches,2018,8.3,60 min
20,Stree,2018,8.3,128 min
21,Titans,2018,8.3,45 min
22,Altered Carbon,2018,8.2,60 min
23,Sharp Objects,2018,8.2,60 min
24,Patrick Melrose,2018,8.2,60 min
25,Bharat Ane Nenu,2018,8.2,173 min
26,Sanju,2018,8.1,155 min
27,The Terror,2018,8.1,60 min
28,Barry,2018,8.1,30 min
29,Padman,2018,8.1,140 min
30,Mission: Impossible - Fallout,2018,8.0,147 min
31,Isle of Dogs,2018,8.0,101 min
32,Maniac,2018,8.0,40 min
33,Ölümlü Dünya,2018,8.0,107 min
34,Incredibles 2,2018,7.9,118 min
35,Chilling Adventures of Sabrina,2018,7.9,60 min
36,Castle Rock,2018,7.9,60 min
37,Parmanu: The Story of Pokhran,2018,7.9,129 min
38,Good Girls,2018,7.9,43 min
39,Deadpool 2,2018,7.8,119 min
40,Searching,2018,7.8,102 min
41,The Alienist,2018,7.8,60 min
42,Raazi,2018,7.8,138 min
43,"Love, Simon",2018,7.7,110 min
44,BlacKkKlansman,2018,7.7,135 min
45,First Man,2018,7.7,141 min
46,Elite,2018,7.7,60 min
47,Seven Seconds,2018,7.7,60 min
48,McMafia,2018,7.7,60 min
49,Ready Player One,2018,7.6,140 min
50,A Quiet Place,2018,7.6,90 min
51,Upgrade,2018,7.6,100 min
52,Arif v 216,2018,7.6,125 min
53,Eighth Grade,2018,7.6,93 min
54,Evil Genius: The True Story of America's Most Diabolical Bank Heist,2018,7.6,192 min
55,Everything Sucks!,2018,7.6,30 min
56,October,2018,7.6,115 min
57,Ayla: The Daughter of War,2017,8.9,125 min
58,The Marvelous Mrs. Maisel,2017,8.7,57 min
59,The Punisher,2017,8.6,53 min
60,Mindhunter,2017,8.6,60 min
61,Money Heist,2017,8.6,70 min
62,The Handmaid's Tale,2017,8.6,60 min
63,Big Little Lies,2017,8.6,60 min
64,Dark,2017,8.6,60 min
65,Taboo,2017,8.5,59 min
66,Twin Peaks,2017,8.5,60 min
67,Coco,2017,8.4,105 min
68,Ozark,2017,8.4,60 min
69,Legion,2017,8.4,60 min
70,Godless,2017,8.4,60 min
71,Atypical,2017,8.4,30 min
72,Baahubali 2: The Conclusion,2017,8.3,167 min
73,The Good Doctor,2017,8.3,41 min
74,"Three Billboards Outside Ebbing, Missouri",2017,8.2,115 min
75,The End of the F***ing World,2017,8.2,25 min
76,Manhunt: Unabomber,2017,8.2,60 min
77,American Vandal,2017,8.2,34 min
78,Logan,2017,8.1,137 min
79,13 Reasons Why,2017,8.1,60 min
80,American Gods,2017,8.1,60 min
81,Big Mouth,2017,8.1,30 min
82,GLOW,2017,8.1,35 min
83,Mersal,2017,8.1,172 min
84,Castlevania,2017,8.1,23 min
85,Blade Runner 2049,2017,8.0,164 min
86,Call Me by Your Name,2017,8.0,132 min
87,Wonder,2017,8.0,113 min
88,The Sinner,2017,8.0,60 min
89,Dunkirk,2017,7.9,106 min
90,Thor: Ragnarok,2017,7.9,130 min
91,A Series of Unfortunate Events,2017,7.9,50 min
92,Paddington 2,2017,7.9,103 min
93,The Orville,2017,7.9,44 min
94,Icarus,2017,7.9,121 min
95,Santa Clarita Diet,2017,7.8,30 min
96,Loving Vincent,2017,7.8,94 min
97,What the Health,2017,7.8,97 min
98,Guardians of the Galaxy Vol. 2,2017,7.7,136 min
99,Get Out,2017,7.7,104 min
100,The Greatest Showman,2017,7.7,105 min
101,Wind River,2017,7.7,107 min
102,Only the Brave,2017,7.7,134 min
103,Loveless,2017,7.7,127 min
104,Baby Driver,2017,7.6,112 min
105,The Big Sick,2017,7.6,120 min
106,Gifted,2017,7.6,101 min
107,The Florida Project,2017,7.6,111 min
108,The Gifted,2017,7.6,43 min
109,Planet Earth II,2016,9.5,360 min
110,The Mountain II,2016,9.4,135 min
